Bacterial_associate_taxa,Class,Family,Fungal_host_taxa,Genus,Order,Phylum,Superkingdom
Caldibacillus,Lecanoromycetes,Teloschistaceae,Xanthoria,Xanthoria,Teloschistales,Ascomycota,Eukaryota
Caldicellulosiruptor,Saccharomycetes,Phaffomycetaceae,Cyberlindnera,Cyberlindnera,Saccharomycetales,Ascomycota,Eukaryota
Caldicellulosiruptor,Dothideomycetes,Didymosphaeriaceae,Karstenula,Karstenula,Pleosporales,Ascomycota,Eukaryota
Caldicellulosiruptor,Saccharomycetes,Pichiaceae,Ogataea,Ogataea,Saccharomycetales,Ascomycota,Eukaryota
Caldicellulosiruptor,Dothideomycetes,Leptosphaeriaceae,Plenodomus,Plenodomus,Pleosporales,Ascomycota,Eukaryota
Caldicoprobacter,Eurotiomycetes,Aspergillaceae,Penicillium,Penicillium,Eurotiales,Ascomycota,Eukaryota
Caldithrix,Agaricomycetes,Phanerochaetaceae,Bjerkandera,Bjerkandera,Polyporales,Basidiomycota,Eukaryota
Caldithrix,Saccharomycetes,Trigonopsidaceae,Tortispora,Tortispora,Saccharomycetales,Ascomycota,Eukaryota
Caldithrix,Lecanoromycetes,Teloschistaceae,Xanthoria,Xanthoria,Teloschistales,Ascomycota,Eukaryota
Calothrix,Agaricomycetes,Gloeophyllaceae,Gloeophyllum,Gloeophyllum,Gloeophyllales,Basidiomycota,Eukaryota
Candidatus Cardinium,Agaricomycetes,Phanerochaetaceae,Bjerkandera,Bjerkandera,Polyporales,Basidiomycota,Eukaryota
Candidatus Cardinium,Agaricomycetes,Gloeophyllaceae,Gloeophyllum,Gloeophyllum,Gloeophyllales,Basidiomycota,Eukaryota
Candidatus Pelagibacter,Dothideomycetes,Pleosporaceae,Curvularia,Curvularia,Pleosporales,Ascomycota,Eukaryota
Caulobacter,Eurotiomycetes,Herpotrichiellaceae,Cladophialophora,Cladophialophora,Chaetothyriales,Ascomycota,Eukaryota
Caulobacter,Eurotiomycetes,Herpotrichiellaceae,Fonsecaea,Fonsecaea,Chaetothyriales,Ascomycota,Eukaryota
