Bacterial_associate_taxa,Class,Family,Fungal_host_taxa,Genus,Order,Phylum,Superkingdom
Achromobacter,Betaproteobacteria,Alcaligenaceae,Trichoderma,Achromobacter,Burkholderiales,Proteobacteria,Bacteria
Acinetobacter,Gammaproteobacteria,Moraxellaceae,Fusarium,Acinetobacter,Moraxellales,Proteobacteria,Bacteria
Agrococcus,Actinomycetia,Microbacteriaceae,Fusarium,Agrococcus,Micrococcales,Actinobacteria,Bacteria
Azospirillum,Alphaproteobacteria,Azospirillaceae,Fusarium,Azospirillum,Rhodospirillales,Proteobacteria,Bacteria
Bacillus,Bacilli,Bacillaceae,Fusarium,Bacillus,Bacillales,Firmicutes,Bacteria
Bacteroides,Bacteroidia,Bacteroidaceae,Mucor,Bacteroides,Bacteroidales,Bacteroidota,Bacteria
Bradyrhizobium,Alphaproteobacteria,Nitrobacteraceae,Fusarium,Bradyrhizobium,Hyphomicrobiales,Proteobacteria,Bacteria
Brevundimonas,Alphaproteobacteria,Caulobacteraceae,Mucor,Brevundimonas,Caulobacterales,Proteobacteria,Bacteria
Chryseobacterium,Flavobacteriia,Weeksellaceae,Fusarium,Chryseobacterium,Flavobacteriales,Bacteroidota,Bacteria
Citrobacter,Gammaproteobacteria,Enterobacteriaceae,Fusarium,Citrobacter,Enterobacterales,Proteobacteria,Bacteria
Clostridium,Clostridia,Clostridiaceae,Fusarium,Clostridium,Eubacteriales,Firmicutes,Bacteria
Comamonas,Betaproteobacteria,Comamonadaceae,Fusarium,Comamonas,Burkholderiales,Proteobacteria,Bacteria
Corynebacterium,Actinomycetia,Corynebacteriaceae,Suillus,Corynebacterium,Corynebacteriales,Actinobacteria,Bacteria
Curtobacterium,Actinomycetia,Microbacteriaceae,Fusarium,Curtobacterium,Micrococcales,Actinobacteria,Bacteria
Delftia,Betaproteobacteria,Comamonadaceae,Fusarium,Delftia,Burkholderiales,Proteobacteria,Bacteria
Dyella,Gammaproteobacteria,Rhodanobacteraceae,Fusarium,Dyella,Xanthomonadales,Proteobacteria,Bacteria
Enterobacter,Gammaproteobacteria,Enterobacteriaceae,Fusarium,Enterobacter,Enterobacterales,Proteobacteria,Bacteria
Granulicatella,Bacilli,Carnobacteriaceae,Fusarium,Granulicatella,Lactobacillales,Firmicutes,Bacteria
Haemophilus,Gammaproteobacteria,Pasteurellaceae,Phoma,Haemophilus,Pasteurellales,Proteobacteria,Bacteria
Lactobacillus,Bacilli,Lactobacillaceae,Fusarium,Lactobacillus,Lactobacillales,Firmicutes,Bacteria
Lactococcus,Bacilli,Streptococcaceae,Fusarium,Lactococcus,Lactobacillales,Firmicutes,Bacteria
Lysobacter,Gammaproteobacteria,Xanthomonadaceae,Trichoderma,Lysobacter,Xanthomonadales,Proteobacteria,Bacteria
Massilia,Betaproteobacteria,Oxalobacteraceae,Fusarium,Massilia,Burkholderiales,Proteobacteria,Bacteria
Massilia,Betaproteobacteria,Oxalobacteraceae,Penicillium,Massilia,Burkholderiales,Proteobacteria,Bacteria
Mesorhizobium,Alphaproteobacteria,Phyllobacteriaceae,Fusarium,Mesorhizobium,Hyphomicrobiales,Proteobacteria,Bacteria
Microbacterium,Actinomycetia,Microbacteriaceae,Fusarium,Microbacterium,Micrococcales,Actinobacteria,Bacteria
Mycobacterium,Actinomycetia,Mycobacteriaceae,Mucor,Mycobacterium,Corynebacteriales,Actinobacteria,Bacteria
Novosphingobium,Alphaproteobacteria,Sphingomonadaceae,Fusarium,Novosphingobium,Sphingomonadales,Proteobacteria,Bacteria
Pelomonas,Betaproteobacteria,Comamonadaceae,Fusarium,Pelomonas,Burkholderiales,Proteobacteria,Bacteria
Propionibacterium,Actinomycetia,Propionibacteriaceae,Fusarium,Propionibacterium,Propionibacteriales,Actinobacteria,Bacteria
Pseudomonas,Gammaproteobacteria,Pseudomonadaceae,Fusarium,Pseudomonas,Pseudomonadales,Proteobacteria,Bacteria
Pseudomonas,Gammaproteobacteria,Pseudomonadaceae,Penicillium,Pseudomonas,Pseudomonadales,Proteobacteria,Bacteria
Rhodococcus,Actinomycetia,Nocardiaceae,Fusarium,Rhodococcus,Corynebacteriales,Actinobacteria,Bacteria
Rothia,Actinomycetia,Micrococcaceae,Fusarium,Rothia,Micrococcales,Actinobacteria,Bacteria
Sphingomonas,Alphaproteobacteria,Sphingomonadaceae,Phoma,Sphingomonas,Sphingomonadales,Proteobacteria,Bacteria
Stenotrophomonas,Gammaproteobacteria,Xanthomonadaceae,Fusarium,Stenotrophomonas,Xanthomonadales,Proteobacteria,Bacteria
Streptococcus,Bacilli,Streptococcaceae,Fusarium,Streptococcus,Lactobacillales,Firmicutes,Bacteria
Variovorax,Betaproteobacteria,Comamonadaceae,Trichoderma,Variovorax,Burkholderiales,Proteobacteria,Bacteria
Acinetobacter,Gammaproteobacteria,Moraxellaceae,Amanita,Acinetobacter,Moraxellales,Proteobacteria,Bacteria
Agrobacterium,Alphaproteobacteria,Rhizobiaceae,Trichoderma,Agrobacterium,Hyphomicrobiales,Proteobacteria,Bacteria
Bradyrhizobium,Alphaproteobacteria,Nitrobacteraceae,Xylaria,Bradyrhizobium,Hyphomicrobiales,Proteobacteria,Bacteria
Staphylococcus,Bacilli,Staphylococcaceae,Xylaria,Staphylococcus,Bacillales,Firmicutes,Bacteria
Stenotrophomonas,Gammaproteobacteria,Xanthomonadaceae,Tricholoma,Stenotrophomonas,Xanthomonadales,Proteobacteria,Bacteria
Pseudomonas,Gammaproteobacteria,Pseudomonadaceae,Trichoderma,Pseudomonas,Pseudomonadales,Proteobacteria,Bacteria
Stenotrophomonas,Gammaproteobacteria,Xanthomonadaceae,Trichoderma,Stenotrophomonas,Xanthomonadales,Proteobacteria,Bacteria
Mycoplasma,Mollicutes,Mycoplasmataceae,Fusarium,Mycoplasma,Mycoplasmatales,Tenericutes,Bacteria
Candidatus Moeniiplasma,Mollicutes,Mycoplasmataceae,Claroideoglomus,Candidatus Moeniiplasma,Mycoplasmatales,Tenericutes,Bacteria
Candidatus Moeniiplasma,Mollicutes,Mycoplasmataceae,Gigaspora,Candidatus Moeniiplasma,Mycoplasmatales,Tenericutes,Bacteria
Candidatus Moeniiplasma,Mollicutes,Mycoplasmataceae,Claroideoglomus,Candidatus Moeniiplasma,Mycoplasmatales,Tenericutes,Bacteria
Candidatus Moeniiplasma,Mollicutes,Mycoplasmataceae,Funneliformis,Candidatus Moeniiplasma,Mycoplasmatales,Tenericutes,Bacteria
Candidatus Moeniiplasma,Mollicutes,Mycoplasmataceae,Scutellospora,Candidatus Moeniiplasma,Mycoplasmatales,Tenericutes,Bacteria
Candidatus Moeniiplasma,Mollicutes,Mycoplasmataceae,Rhizophagus,Candidatus Moeniiplasma,Mycoplasmatales,Tenericutes,Bacteria
Candidatus Moeniiplasma,Mollicutes,Mycoplasmataceae,Glomus,Candidatus Moeniiplasma,Mycoplasmatales,Tenericutes,Bacteria
Candidatus Moeniiplasma,Mollicutes,Mycoplasmataceae,Dentiscutata,Candidatus Moeniiplasma,Mycoplasmatales,Tenericutes,Bacteria
Candidatus Moeniiplasma,Mollicutes,Mycoplasmataceae,Cetraspora,Candidatus Moeniiplasma,Mycoplasmatales,Tenericutes,Bacteria
Candidatus Moeniiplasma,Mollicutes,Mycoplasmataceae,Racocetra,Candidatus Moeniiplasma,Mycoplasmatales,Tenericutes,Bacteria
Candidatus Moeniiplasma,Mollicutes,Mycoplasmataceae,Ambispora,Candidatus Moeniiplasma,Mycoplasmatales,Tenericutes,Bacteria
Candidatus Moeniiplasma,Mollicutes,Mycoplasmataceae,Geosiphon,Candidatus Moeniiplasma,Mycoplasmatales,Tenericutes,Bacteria
Candidatus Moeniiplasma,Mollicutes,Mycoplasmataceae,Jimgerdemannia,Candidatus Moeniiplasma,Mycoplasmatales,Tenericutes,Bacteria
Candidatus Moeniiplasma,Mollicutes,Mycoplasmataceae,Endogone,Candidatus Moeniiplasma,Mycoplasmatales,Tenericutes,Bacteria
Candidatus Moeniiplasma,Mollicutes,Mycoplasmataceae,Mortierella,Candidatus Moeniiplasma,Mycoplasmatales,Tenericutes,Bacteria
Candidatus Moeniiplasma,Mollicutes,Mycoplasmataceae,Lobosporangium,Candidatus Moeniiplasma,Mycoplasmatales,Tenericutes,Bacteria
Burkholderia,Betaproteobacteria,Burkholderiaceae,Fusarium,Burkholderia,Burkholderiales,Proteobacteria,Bacteria
Mycoavidus,Betaproteobacteria,Burkholderiaceae,Mortierella,Mycoavidus,Burkholderiales,Proteobacteria,Bacteria
Microbacterium,Actinomycetia,Microbacteriaceae,Agaricus,Microbacterium,Micrococcales,Actinobacteria,Bacteria
Pseudomonas,Gammaproteobacteria,Pseudomonadaceae,Agaricus,Pseudomonas,Pseudomonadales,Proteobacteria,Bacteria
Ewingella,Gammaproteobacteria,Yersiniaceae,Agaricus,Ewingella,Enterobacterales,Proteobacteria,Bacteria
Enterobacter,Gammaproteobacteria,Enterobacteriaceae,Agaricus,Enterobacter,Enterobacterales,Proteobacteria,Bacteria
Pseudomonas,Gammaproteobacteria,Pseudomonadaceae,Amanita,Pseudomonas,Pseudomonadales,Proteobacteria,Bacteria
Janthinobacterium,Betaproteobacteria,Oxalobacteraceae,Amanita,Janthinobacterium,Burkholderiales,Proteobacteria,Bacteria
Enterobacter,Gammaproteobacteria,Enterobacteriaceae,Amanita,Enterobacter,Enterobacterales,Proteobacteria,Bacteria
Burkholderia,Betaproteobacteria,Burkholderiaceae,Amanita,Burkholderia,Burkholderiales,Proteobacteria,Bacteria
Burkholderia,Betaproteobacteria,Burkholderiaceae,Leccinum,Burkholderia,Burkholderiales,Proteobacteria,Bacteria
Chryseobacterium,Flavobacteriia,Weeksellaceae,Leccinum,Chryseobacterium,Flavobacteriales,Bacteroidota,Bacteria
Novosphingobium,Alphaproteobacteria,Sphingomonadaceae,Leccinum,Novosphingobium,Sphingomonadales,Proteobacteria,Bacteria
Chitinophaga,Chitinophagia,Chitinophagaceae,Cantharellus,Chitinophaga,Chitinophagales,Bacteroidota,Bacteria
Rhizobium,Alphaproteobacteria,Rhizobiaceae,Cantharellus,Rhizobium,Hyphomicrobiales,Proteobacteria,Bacteria
Bacteroides,Bacteroidia,Bacteroidaceae,Cantharellus,Bacteroides,Bacteroidales,Bacteroidota,Bacteria
Hafnia,Gammaproteobacteria,Hafniaceae,Cantharellus,Hafnia,Enterobacterales,Proteobacteria,Bacteria
Enterobacter,Gammaproteobacteria,Enterobacteriaceae,Cantharellus,Enterobacter,Enterobacterales,Proteobacteria,Bacteria
Pedobacter,Sphingobacteriia,Sphingobacteriaceae,Morchella,Pedobacter,Sphingobacteriales,Bacteroidota,Bacteria
Pseudomonas,Gammaproteobacteria,Pseudomonadaceae,Morchella,Pseudomonas,Pseudomonadales,Proteobacteria,Bacteria
Stenotrophomonas,Gammaproteobacteria,Xanthomonadaceae,Morchella,Stenotrophomonas,Xanthomonadales,Proteobacteria,Bacteria
Flavobacterium,Flavobacteriia,Flavobacteriaceae,Morchella,Flavobacterium,Flavobacteriales,Bacteroidota,Bacteria
Pseudomonas,Gammaproteobacteria,Pseudomonadaceae,Leucangium,Pseudomonas,Pseudomonadales,Proteobacteria,Bacteria
Janthinobacterium,Betaproteobacteria,Oxalobacteraceae,Leucangium,Janthinobacterium,Burkholderiales,Proteobacteria,Bacteria
Janthinobacterium,Betaproteobacteria,Oxalobacteraceae,Kalapuya,Janthinobacterium,Burkholderiales,Proteobacteria,Bacteria
Flavobacterium,Flavobacteriia,Flavobacteriaceae,Kalapuya,Flavobacterium,Flavobacteriales,Bacteroidota,Bacteria
Rhizobium,Alphaproteobacteria,Rhizobiaceae,Kalapuya,Rhizobium,Hyphomicrobiales,Proteobacteria,Bacteria
Pseudomonas,Gammaproteobacteria,Pseudomonadaceae,Kalapuya,Pseudomonas,Pseudomonadales,Proteobacteria,Bacteria
Burkholderia,Betaproteobacteria,Burkholderiaceae,Lactarius,Burkholderia,Burkholderiales,Proteobacteria,Bacteria
Shewanella,Gammaproteobacteria,Shewanellaceae,Lactarius,Shewanella,Alteromonadales,Proteobacteria,Bacteria
Dyella,Gammaproteobacteria,Rhodanobacteraceae,Lactarius,Dyella,Xanthomonadales,Proteobacteria,Bacteria
Burkholderia,Betaproteobacteria,Burkholderiaceae,Suillus,Burkholderia,Burkholderiales,Proteobacteria,Bacteria
Pseudomonas,Gammaproteobacteria,Pseudomonadaceae,Suillus,Pseudomonas,Pseudomonadales,Proteobacteria,Bacteria
Sinorhizobium,Alphaproteobacteria,Rhizobiaceae,Tuber,Sinorhizobium,Hyphomicrobiales,Proteobacteria,Bacteria
Bradyrhizobium,Alphaproteobacteria,Nitrobacteraceae,Tuber,Bradyrhizobium,Hyphomicrobiales,Proteobacteria,Bacteria
Rhizobium,Alphaproteobacteria,Rhizobiaceae,Tuber,Rhizobium,Hyphomicrobiales,Proteobacteria,Bacteria
Microbacterium,Actinomycetia,Microbacteriaceae,Tuber,Microbacterium,Micrococcales,Actinobacteria,Bacteria
Polaromonas,Betaproteobacteria,Comamonadaceae,Tuber,Polaromonas,Burkholderiales,Proteobacteria,Bacteria
Pseudomonas,Gammaproteobacteria,Pseudomonadaceae,Tuber,Pseudomonas,Pseudomonadales,Proteobacteria,Bacteria
Variovorax,Betaproteobacteria,Comamonadaceae,Tuber,Variovorax,Burkholderiales,Proteobacteria,Bacteria
Propionibacterium,Actinomycetia,Propionibacteriaceae,Tuber,Propionibacterium,Propionibacteriales,Actinobacteria,Bacteria
Pseudomonas,Gammaproteobacteria,Pseudomonadaceae,Tricholoma,Pseudomonas,Pseudomonadales,Proteobacteria,Bacteria
Serratia,Gammaproteobacteria,Yersiniaceae,Tricholoma,Serratia,Enterobacterales,Proteobacteria,Bacteria
Mycetocola,Actinomycetia,Microbacteriaceae,Tricholoma,Mycetocola,Micrococcales,Actinobacteria,Bacteria
Ewingella,Gammaproteobacteria,Yersiniaceae,Tricholoma,Ewingella,Enterobacterales,Proteobacteria,Bacteria
Candidatus Glomeribacter,Betaproteobacteria,Burkholderiaceae,Gigaspora,Candidatus Glomeribacter,Burkholderiales,Proteobacteria,Bacteria
Nostoc,Nostocales,Nostoc,Geosiphon,NA,Nostocaceae,Cyanobacteria,Bacteria
Acinetobacter,Gammaproteobacteria,Moraxellaceae,Xylaria,Acinetobacter,Moraxellales,Proteobacteria,Bacteria
Acinetobacter,Gammaproteobacteria,Moraxellaceae,Calonectria,Acinetobacter,Moraxellales,Proteobacteria,Bacteria
Sphingomonas,Alphaproteobacteria,Sphingomonadaceae,Hypoxylon,Sphingomonas,Sphingomonadales,Proteobacteria,Bacteria
Sphingomonas,Alphaproteobacteria,Sphingomonadaceae,Xylaria,Sphingomonas,Sphingomonadales,Proteobacteria,Bacteria
Xanthomonadaceae,Gammaproteobacteria,Xanthomonadaceae,Alternaria,NA,Xanthomonadales,Proteobacteria,Bacteria
Xanthomonadaceae,Gammaproteobacteria,Xanthomonadaceae,Preussia,NA,Xanthomonadales,Proteobacteria,Bacteria
Xanthomonadaceae,Gammaproteobacteria,Xanthomonadaceae,Pestalotiopsis,NA,Xanthomonadales,Proteobacteria,Bacteria
Xanthomonadaceae,Gammaproteobacteria,Xanthomonadaceae,Botryosphaeria,NA,Xanthomonadales,Proteobacteria,Bacteria
Xanthomonadaceae,Gammaproteobacteria,Xanthomonadaceae,Phyllosticta,NA,Xanthomonadales,Proteobacteria,Bacteria
Oxalobacteraceae,Betaproteobacteria,Oxalobacteraceae,Hormonema,NA,Burkholderiales,Proteobacteria,Bacteria
Haemophilus,Gammaproteobacteria,Pasteurellaceae,Xylaria,Haemophilus,Pasteurellales,Proteobacteria,Bacteria
Mycetohabitans,Betaproteobacteria,Burkholderiaceae,Rhizopus,Mycetohabitans,Burkholderiales,Proteobacteria,Bacteria
Cohnella,Bacilli,Paenibacillaceae,Trichoderma,Cohnella,Bacillales,Firmicutes,Bacteria
Pantoea,Gammaproteobacteria,Erwiniaceae,Xylaria,Pantoea,Enterobacterales,Proteobacteria,Bacteria
Pantoea,Gammaproteobacteria,Erwiniaceae,Microdiplodia,Pantoea,Enterobacterales,Proteobacteria,Bacteria
Pantoea,Gammaproteobacteria,Erwiniaceae,Pestalotiopsis,Pantoea,Enterobacterales,Proteobacteria,Bacteria
Pantoea,Gammaproteobacteria,Erwiniaceae,Phyllosticta,Pantoea,Enterobacterales,Proteobacteria,Bacteria
Variovorax,Betaproteobacteria,Comamonadaceae,Lecythophora,Variovorax,Burkholderiales,Proteobacteria,Bacteria
Oxalobacteraceae,Betaproteobacteria,Oxalobacteraceae,Hormonema,NA,Burkholderiales,Proteobacteria,Bacteria
Xanthomonadaceae,Gammaproteobacteria,Xanthomonadaceae,Alternaria,NA,Xanthomonadales,Proteobacteria,Bacteria
Xanthomonadaceae,Gammaproteobacteria,Xanthomonadaceae,Preussia,NA,Xanthomonadales,Proteobacteria,Bacteria
Xanthomonadaceae,Gammaproteobacteria,Xanthomonadaceae,Pestalotiopsis,NA,Xanthomonadales,Proteobacteria,Bacteria
Xanthomonadaceae,Gammaproteobacteria,Xanthomonadaceae,Botryosphaeria,NA,Xanthomonadales,Proteobacteria,Bacteria
Xanthomonadaceae,Gammaproteobacteria,Xanthomonadaceae,Phyllosticta,NA,Xanthomonadales,Proteobacteria,Bacteria
Bacillus,Bacilli,Bacillaceae,Pithya,Bacillus,Bacillales,Firmicutes,Bacteria
Bacillus,Bacilli,Bacillaceae,Phaeomoniella,Bacillus,Bacillales,Firmicutes,Bacteria
Bacillus,Bacilli,Bacillaceae,Pestalotiopsis,Bacillus,Bacillales,Firmicutes,Bacteria
Bacillus,Bacilli,Bacillaceae,Xylaria,Bacillus,Bacillales,Firmicutes,Bacteria
Paenibacillus,Bacilli,Paenibacillaceae,Gliocladiopsis,Paenibacillus,Bacillales,Firmicutes,Bacteria
Luteibacter,Gammaproteobacteria,Rhodanobacteraceae,Hypoxylon,Luteibacter,Xanthomonadales,Proteobacteria,Bacteria
Rhizobium,Alphaproteobacteria,Rhizobiaceae,Entonaema,Rhizobium,Hyphomicrobiales,Proteobacteria,Bacteria
Rhizobium,Alphaproteobacteria,Rhizobiaceae,Hypoxylon,Rhizobium,Hyphomicrobiales,Proteobacteria,Bacteria
Rhizobium,Alphaproteobacteria,Rhizobiaceae,Cantharellales,Rhizobium,Hyphomicrobiales,Proteobacteria,Bacteria
Rhizobium,Alphaproteobacteria,Rhizobiaceae,Cantharellus,Rhizobium,Hyphomicrobiales,Proteobacteria,Bacteria
Chitinophaga,Chitinophagia,Chitinophagaceae,Cantharellus,Chitinophaga,Chitinophagales,Bacteroidota,Bacteria
Mucilaginibacter,Sphingobacteriia,Sphingobacteriaceae,Cantharellus,Mucilaginibacter,Sphingobacteriales,Bacteroidota,Bacteria
Tardiphaga,Alphaproteobacteria,Nitrobacteraceae,Cantharellus,Tardiphaga,Hyphomicrobiales,Proteobacteria,Bacteria
Burkholderia,Betaproteobacteria,Burkholderiaceae,Cantharellus,Burkholderia,Burkholderiales,Proteobacteria,Bacteria
Pseudomonas,Gammaproteobacteria,Pseudomonadaceae,Cantharellus,Pseudomonas,Pseudomonadales,Proteobacteria,Bacteria
Pedobacter,Sphingobacteriia,Sphingobacteriaceae,Cantharellus,Pedobacter,Sphingobacteriales,Bacteroidota,Bacteria
Bradyrhizobium,Alphaproteobacteria,Nitrobacteraceae,Cantharellus,Bradyrhizobium,Hyphomicrobiales,Proteobacteria,Bacteria
Salinibacterium,Actinomycetia,Microbacteriaceae,Cantharellus,Salinibacterium,Micrococcales,Actinobacteria,Bacteria
Novosphingobium,Alphaproteobacteria,Sphingomonadaceae,Cantharellus,Novosphingobium,Sphingomonadales,Proteobacteria,Bacteria
Frigoribacterium,Actinomycetia,Microbacteriaceae,Cantharellus,Frigoribacterium,Micrococcales,Actinobacteria,Bacteria
Massilia,Betaproteobacteria,Oxalobacteraceae,Xylaria,Massilia,Burkholderiales,Proteobacteria,Bacteria
Massilia,Betaproteobacteria,Oxalobacteraceae,Nectriaceae,Massilia,Burkholderiales,Proteobacteria,Bacteria
Massilia,Betaproteobacteria,Oxalobacteraceae,Agaricales,Massilia,Burkholderiales,Proteobacteria,Bacteria
Pseudomonas,Gammaproteobacteria,Pseudomonadaceae,Entonaema,Pseudomonas,Pseudomonadales,Proteobacteria,Bacteria
Pseudomonas,Gammaproteobacteria,Pseudomonadaceae,Xylaria,Pseudomonas,Pseudomonadales,Proteobacteria,Bacteria
Pseudomonas,Gammaproteobacteria,Pseudomonadaceae,Nectriaceae,Pseudomonas,Pseudomonadales,Proteobacteria,Bacteria
Pseudomonas,Gammaproteobacteria,Pseudomonadaceae,Calonectria,Pseudomonas,Pseudomonadales,Proteobacteria,Bacteria
Pseudomonas,Gammaproteobacteria,Pseudomonadaceae,Gliocladiopsis,Pseudomonas,Pseudomonadales,Proteobacteria,Bacteria
Pseudomonas,Gammaproteobacteria,Pseudomonadaceae,Agaricales,Pseudomonas,Pseudomonadales,Proteobacteria,Bacteria
Schlegelella,Betaproteobacteria,Sphaerotilaceae,Agaricales,Schlegelella,Burkholderiales,Proteobacteria,Bacteria
Aquabacterium,Betaproteobacteria,Aquabacterium,Agaricales,NA,Burkholderiales,Proteobacteria,Bacteria
Tardiphaga,Alphaproteobacteria,Nitrobacteraceae,Cantharellales,Tardiphaga,Hyphomicrobiales,Proteobacteria,Bacteria
Chitinophaga,Chitinophagia,Chitinophagaceae,Gliocladiopsis,Chitinophaga,Chitinophagales,Bacteroidota,Bacteria
Chitinophaga,Chitinophagia,Chitinophagaceae,Fusarium,Chitinophaga,Chitinophagales,Bacteroidota,Bacteria
Chitinophaga,Chitinophagia,Chitinophagaceae,Cantharellales,Chitinophaga,Chitinophagales,Bacteroidota,Bacteria
Frigoribacterium,Actinomycetia,Microbacteriaceae,Cantharellales,Frigoribacterium,Micrococcales,Actinobacteria,Bacteria
Pedobacter,Sphingobacteriia,Sphingobacteriaceae,Cantharellales,Pedobacter,Sphingobacteriales,Bacteroidota,Bacteria
Paraburkholderia,Betaproteobacteria,Burkholderiaceae,Russulales,Paraburkholderia,Burkholderiales,Proteobacteria,Bacteria
Staphylococcus,Bacilli,Staphylococcaceae,Stachybotrys,Staphylococcus,Bacillales,Firmicutes,Bacteria
Staphylococcus,Bacilli,Staphylococcaceae,Russulales,Staphylococcus,Bacillales,Firmicutes,Bacteria
Corynebacterium,Actinomycetia,Corynebacteriaceae,Russulales,Corynebacterium,Corynebacteriales,Actinobacteria,Bacteria
Enterococcus,Bacilli,Enterococcaceae,Russulales,Enterococcus,Lactobacillales,Firmicutes,Bacteria
Tardiphaga,Alphaproteobacteria,Nitrobacteraceae,Cantharellales,Tardiphaga,Hyphomicrobiales,Proteobacteria,Bacteria
Frigoribacterium,Actinomycetia,Microbacteriaceae,Cantharellales,Frigoribacterium,Micrococcales,Actinobacteria,Bacteria
Chitinophaga,Chitinophagia,Chitinophagaceae,Gliocladiopsis,Chitinophaga,Chitinophagales,Bacteroidota,Bacteria
Chitinophaga,Chitinophagia,Chitinophagaceae,Fusarium,Chitinophaga,Chitinophagales,Bacteroidota,Bacteria
Chitinophaga,Chitinophagia,Chitinophagaceae,Cantharellales,Chitinophaga,Chitinophagales,Bacteroidota,Bacteria
Erwinia,Gammaproteobacteria,Erwiniaceae,Microdiplodia,Erwinia,Enterobacterales,Proteobacteria,Bacteria
Curtobacterium,Actinomycetia,Microbacteriaceae,Cladosporium,Curtobacterium,Micrococcales,Actinobacteria,Bacteria
Burkholderia,Betaproteobacteria,Burkholderiaceae,Monodictys,Burkholderia,Burkholderiales,Proteobacteria,Bacteria
Luteibacter,Gammaproteobacteria,Rhodanobacteraceae,Botryosphaeria,Luteibacter,Xanthomonadales,Proteobacteria,Bacteria
Luteibacter,Gammaproteobacteria,Rhodanobacteraceae,Phyllosticta,Luteibacter,Xanthomonadales,Proteobacteria,Bacteria
Luteibacter,Gammaproteobacteria,Rhodanobacteraceae,Pestalotiopsis,Luteibacter,Xanthomonadales,Proteobacteria,Bacteria
Luteibacter,Gammaproteobacteria,Rhodanobacteraceae,Microdiplodia,Luteibacter,Xanthomonadales,Proteobacteria,Bacteria
Massilia,Betaproteobacteria,Oxalobacteraceae,Hormonema,Massilia,Burkholderiales,Proteobacteria,Bacteria
Pantoea,Gammaproteobacteria,Erwiniaceae,Botryosphaeria,Pantoea,Enterobacterales,Proteobacteria,Bacteria
Pantoea,Gammaproteobacteria,Erwiniaceae,Microdiplodia,Pantoea,Enterobacterales,Proteobacteria,Bacteria
Rhizobium,Alphaproteobacteria,Rhizobiaceae,Microdiplodia,Rhizobium,Hyphomicrobiales,Proteobacteria,Bacteria
Clostridium,Clostridia,Clostridiaceae,Bionectria,Clostridium,Eubacteriales,Firmicutes,Bacteria
Acidobacterium,Acidobacteriia,Acidobacteriaceae,Fusarium,Acidobacterium,Acidobacteriales,Acidobacteria,Bacteria
Enterobacteriaceae,Gammaproteobacteria,Enterobacteriaceae,Xylaria,NA,Enterobacterales,Proteobacteria,Bacteria
Enterobacteriaceae,Gammaproteobacteria,Enterobacteriaceae,Gliocladiopsis,NA,Enterobacterales,Proteobacteria,Bacteria
Enterobacteriaceae,Gammaproteobacteria,Enterobacteriaceae,Fusarium,NA,Enterobacterales,Proteobacteria,Bacteria
Enterobacteriaceae,Gammaproteobacteria,Enterobacteriaceae,Microdiplodia,NA,Enterobacterales,Proteobacteria,Bacteria
Enterobacteriaceae,Gammaproteobacteria,Enterobacteriaceae,Pestalotiopsis,NA,Enterobacterales,Proteobacteria,Bacteria
Enterobacteriaceae,Gammaproteobacteria,Enterobacteriaceae,Phyllosticta,NA,Enterobacterales,Proteobacteria,Bacteria
Lachnospiraceae,Clostridia,Lachnospiraceae,Fusarium,NA,Eubacteriales,Firmicutes,Bacteria
Lachnospiraceae,Clostridia,Lachnospiraceae,Gliocladiopsis,NA,Eubacteriales,Firmicutes,Bacteria
Veillonellaceae,Negativicutes,Veillonellaceae,Xylaria,NA,Veillonellales,Firmicutes,Bacteria
Pelosinus,Negativicutes,Sporomusaceae,Fusarium,Pelosinus,Selenomonadales,Firmicutes,Bacteria
Lachnoclostridium,Clostridia,Lachnospiraceae,Fusarium,Lachnoclostridium,Eubacteriales,Firmicutes,Bacteria
Lachnoclostridium,Clostridia,Lachnospiraceae,Gliocladiopsis,Lachnoclostridium,Eubacteriales,Firmicutes,Bacteria
Pectobacterium,Gammaproteobacteria,Pectobacteriaceae,Fusarium,Pectobacterium,Enterobacterales,Proteobacteria,Bacteria
Pleomorphomonas,Alphaproteobacteria,Pleomorphomonadaceae,Gliocladiopsis,Pleomorphomonas,Hyphomicrobiales,Proteobacteria,Bacteria
Pleomorphomonas,Alphaproteobacteria,Pleomorphomonadaceae,Fusarium,Pleomorphomonas,Hyphomicrobiales,Proteobacteria,Bacteria
Anaerosinus,Negativicutes,Sporomusaceae,Bionectria,Anaerosinus,Selenomonadales,Firmicutes,Bacteria
Enterobacter,Gammaproteobacteria,Enterobacteriaceae,Hypoxylon,Enterobacter,Enterobacterales,Proteobacteria,Bacteria
Enterobacter,Gammaproteobacteria,Enterobacteriaceae,Gliocladiopsis,Enterobacter,Enterobacterales,Proteobacteria,Bacteria
Enterobacter,Gammaproteobacteria,Enterobacteriaceae,Bionectria,Enterobacter,Enterobacterales,Proteobacteria,Bacteria
Selenomonadales,Negativicutes,NA,Bionectria,NA,Selenomonadales,Firmicutes,Bacteria
Escherichia,Gammaproteobacteria,Enterobacteriaceae,Fusarium,Escherichia,Enterobacterales,Proteobacteria,Bacteria
Escherichia,Gammaproteobacteria,Enterobacteriaceae,Gliocladiopsis,Escherichia,Enterobacterales,Proteobacteria,Bacteria
