Bacterial_associate_taxa,Class,Family,Fungal_host_taxa,Genus,Order,Phylum,Superkingdom
Rubritepida,Alphaproteobacteria,Acetobacteraceae,Omphalotus,Rubritepida,Rhodospirillales,Proteobacteria,Bacteria
Rubritepida,Alphaproteobacteria,Acetobacteraceae,Panellus,Rubritepida,Rhodospirillales,Proteobacteria,Bacteria
Rubritepida,Alphaproteobacteria,Acetobacteraceae,Pleurotus,Rubritepida,Rhodospirillales,Proteobacteria,Bacteria
Rubritepida,Alphaproteobacteria,Acetobacteraceae,Tolypocladium,Rubritepida,Rhodospirillales,Proteobacteria,Bacteria
Rubritepida,Alphaproteobacteria,Acetobacteraceae,Trametes,Rubritepida,Rhodospirillales,Proteobacteria,Bacteria
Rubrivirga,Rhodothermia,Rubricoccaceae,Trametes,Rubrivirga,Rhodothermales,Rhodothermaeota,Bacteria
Rubrobacter,Rubrobacteria,Rubrobacteraceae,Podila,Rubrobacter,Rubrobacterales,Actinobacteria,Bacteria
Rudanella,Cytophagia,Cytophagaceae,Grifola,Rudanella,Cytophagales,Bacteroidota,Bacteria
Rudanella,Cytophagia,Cytophagaceae,Infundibulicybe,Rudanella,Cytophagales,Bacteroidota,Bacteria
Ruminiclostridium,Clostridia,Oscillospiraceae,Polyporus,Ruminiclostridium,Eubacteriales,Firmicutes,Bacteria
Ruminococcus,Clostridia,Oscillospiraceae,Agrocybe,Ruminococcus,Eubacteriales,Firmicutes,Bacteria
Ruminococcus,Clostridia,Oscillospiraceae,Epicoccum,Ruminococcus,Eubacteriales,Firmicutes,Bacteria
Ruminococcus,Clostridia,Oscillospiraceae,Gyrodon,Ruminococcus,Eubacteriales,Firmicutes,Bacteria
Saccharopolyspora,Actinomycetia,Pseudonocardiaceae,Alternaria,Saccharopolyspora,Pseudonocardiales,Actinobacteria,Bacteria
Saccharopolyspora,Actinomycetia,Pseudonocardiaceae,Pleurotus,Saccharopolyspora,Pseudonocardiales,Actinobacteria,Bacteria
Salana,Actinomycetia,Beutenbergiaceae,Pleurotus,Salana,Micrococcales,Actinobacteria,Bacteria
Salinarimonas,Alphaproteobacteria,Salinarimonadaceae,Agrocybe,Salinarimonas,Hyphomicrobiales,Proteobacteria,Bacteria
Salinarimonas,Alphaproteobacteria,Salinarimonadaceae,Beauveria,Salinarimonas,Hyphomicrobiales,Proteobacteria,Bacteria
Salinarimonas,Alphaproteobacteria,Salinarimonadaceae,Fusarium,Salinarimonas,Hyphomicrobiales,Proteobacteria,Bacteria
Salinarimonas,Alphaproteobacteria,Salinarimonadaceae,Ganoderma,Salinarimonas,Hyphomicrobiales,Proteobacteria,Bacteria
Salinarimonas,Alphaproteobacteria,Salinarimonadaceae,Grifola,Salinarimonas,Hyphomicrobiales,Proteobacteria,Bacteria
Salinarimonas,Alphaproteobacteria,Salinarimonadaceae,Hericium,Salinarimonas,Hyphomicrobiales,Proteobacteria,Bacteria
Salinarimonas,Alphaproteobacteria,Salinarimonadaceae,Hypsizygus,Salinarimonas,Hyphomicrobiales,Proteobacteria,Bacteria
Salinarimonas,Alphaproteobacteria,Salinarimonadaceae,Infundibulicybe,Salinarimonas,Hyphomicrobiales,Proteobacteria,Bacteria
Salinarimonas,Alphaproteobacteria,Salinarimonadaceae,Kuehneromyces,Salinarimonas,Hyphomicrobiales,Proteobacteria,Bacteria
Salinarimonas,Alphaproteobacteria,Salinarimonadaceae,Laetiporus,Salinarimonas,Hyphomicrobiales,Proteobacteria,Bacteria
